Tanggal,NO2 (Harian),NO2 (30-hari MA),CO (Harian),CO (30-hari MA),SO2 (Harian),SO2 (30-hari MA),CH4 (Harian),CH4 (30-hari MA)
2025-08-30,,1.030403200275032e-05,,0.02654056437313557,,7.386825927824248e-06,,
2025-08-31,,1.030403200275032e-05,,0.02654056437313557,7.386825927824248e-06,7.386825927824248e-06,,1892.82470703125
2025-09-01,,1.030403200275032e-05,,0.02654056437313557,,-3.29553604387911e-05,,
2025-09-02,,1.030403200275032e-05,,0.02654056437313557,-0.000234666295000352,-8.338309407918132e-05,,
2025-09-03,,1.030403200275032e-05,,0.02654056437313557,,-9.216077269229573e-05,,
2025-09-04,,1.030403200275032e-05,,0.02654056437313557,,-8.011342621709143e-05,,
2025-09-05,,1.030403200275032e-05,,0.02654056437313557,,-5.61660643662825e-05,,
2025-09-06,1.030403200275032e-05,1.030403200275032e-05,0.02654056437313557,0.02654056437313557,0.0001949129073182121,-2.478119290572067e-05,,
2025-09-07,,1.033244108030987e-05,,0.02652551399336921,,-1.116116355761834e-05,,1892.82470703125
2025-09-08,,1.038073660311056e-05,,0.0264999283477664,6.852320666439482e-07,-9.97652399519211e-06,,
2025-09-09,,1.044349491249622e-05,,0.02646668069064617,1.297364451602334e-05,-7.89014503962707e-06,,
2025-09-10,,1.051710031182059e-05,,0.02642768668010831,,-7.307238538108625e-06,,
2025-09-11,,1.059904969644357e-05,,0.02638427225443033,,-7.880849308933717e-06,,
2025-09-12,,1.068755500455154e-05,0.02572784572839737,0.02633738464542798,,-9.3631522547964e-06,,1892.82470703125
2025-09-13,,1.078130505144751e-05,,0.02629779937366645,,-1.157240881942319e-05,,
2025-09-14,,1.087931644860873e-05,,0.02626414736732841,,-1.43723154266695e-05,,
2025-09-15,,1.098083724654691e-05,0.02577512711286545,0.02623538147000706,-7.023982470855117e-05,-1.76586395020743e-05,,
2025-09-16,1.286085171159357e-05,1.108528249460505e-05,,0.02624494096057282,0.0001906051184050739,-6.088430729454962e-06,,1892.82470703125
2025-09-17,1.28814926938503e-05,1.11798198735127e-05,,0.02628677446199091,6.44826068310067e-05,-2.374165594693822e-06,,
2025-09-18,1.844873850131989e-06,1.071307257234366e-05,,0.02635604087263346,-4.876991442870349e-05,-4.693953036394305e-06,,1892.82470703125
2025-09-19,,1.027117595445556e-05,,0.0264488212054684,,-4.611247661722744e-06,,
2025-09-20,,9.850741295477663e-06,,0.02656190901656042,4.285563409212045e-05,-2.453662127457144e-06,,
2025-09-21,,9.448969206993713e-06,0.02956907823681831,0.02669265550439772,,1.549283544353903e-07,,1892.82470703125
2025-09-22,,9.063526866507724e-06,,0.02696474959763388,7.223220018204302e-05,3.158148013919041e-06,,1892.82470703125
2025-09-23,-2.132771754759233e-07,8.692454704828378e-06,0.03687675297260284,0.02736122973263264,-9.24184041650733e-06,2.662148476701987e-06,,1892.82470703125
2025-09-24,,8.375738708821245e-06,,0.02760427796210234,,-7.168263603209477e-07,,1892.82470703125
2025-09-25,,8.107339302943762e-06,,0.02771094241351993,-0.0001611405605217442,-6.658446144077364e-06,,
2025-09-26,1.800070776880602e-06,7.882079712727221e-06,0.02728795073926449,0.02769583556801081,-1.531498492113315e-05,-6.967608243257928e-06,,
2025-09-27,,7.708204599790125e-06,0.02331777475774288,0.02754486795386364,,-6.725531636283417e-06,,1892.82470703125
2025-09-28,,7.580575508825404e-06,,0.02749411662419637,,-5.987340193769341e-06,,
2025-09-29,,7.401073193117706e-06,,0.02756699379533529,,-5.207307363737831e-06,,
2025-09-30,5.958593192190165e-06,7.256225232765701e-06,0.03143143281340599,0.02773002274334431,4.615540819941089e-05,-3.915021288018276e-06,,
2025-10-01,-2.903822426958413e-08,6.911789558531704e-06,,0.02778342496603727,2.96921771223424e-05,8.627090551271976e-07,,
2025-10-02,-4.390814410726307e-06,6.42196134474915e-06,0.02485382743179798,0.02772720040132602,-0.0001230676134582609,4.582665106530234e-06,,
2025-10-03,,6.010018710197092e-06,,0.02768420601884524,,7.369528827894101e-06,,1892.82470703125
2025-10-04,,5.675961654875531e-06,,0.02765444181859493,,9.22330070428264e-06,,1892.82470703125
2025-10-05,2.618887720018392e-06,5.419790178784467e-06,,0.0276379078005751,0.0001151385004050098,1.014398049316393e-05,,
2025-10-06,4.341601652413374e-06,5.221042500439902e-06,,0.02763460396478573,-8.667224028613418e-05,7.5780890635239e-07,,
2025-10-07,,5.297492957663982e-06,,0.02764904542515675,,,,
2025-10-08,2.136485272785649e-05,5.649141504981969e-06,0.02723526023328304,0.02768123218168815,-2.979370401590131e-05,-3.495283601750998e-06,,1892.82470703125
2025-10-09,-5.238175617705565e-06,5.105499717513358e-06,,0.02775528747588396,7.148550503188744e-05,-1.135274502909548e-06,,
2025-10-10,,4.654852838648082e-06,,0.02787121124565601,,6.626466074521886e-07,,
2025-10-11,,4.29720083238531e-06,,0.02802900355309248,,2.770390528894495e-06,,
2025-10-12,,4.032543725251969e-06,,0.02822866446028153,,5.187957140151411e-06,,
2025-10-13,,3.860881526721963e-06,,0.02846515340109666,,7.915346456381182e-06,,1892.82470703125
2025-10-14,9.989468708226923e-06,3.782214236795293e-06,0.03395887836813927,0.02873847043762605,4.861436173086986e-05,1.095255853821679e-05,,1892.82470703125
2025-10-15,1.623395110073034e-05,3.903173606367716e-06,,0.02899125634382168,4.280459506844636e-06,1.297427100629041e-05,,
2025-10-16,,3.937235607824145e-06,,0.02920295894145965,,1.349152744296589e-05,,
2025-10-17,,3.892234901374063e-06,,0.02937357823053996,-0.0001137247236329131,3.347199375032991e-06,,
2025-10-18,,4.13674684486646e-06,,0.02950311421106259,,-1.890892265995111e-06,,1892.82470703125
2025-10-19,,4.316605136800433e-06,,0.02959156694511572,,-2.651747399795568e-06,,
2025-10-20,,4.431809788544664e-06,,0.02963893637061119,,-4.237542301173865e-06,,
2025-10-21,2.12651320907753e-06,4.482360786835689e-06,,0.02964522254963716,-2.94664077955531e-05,-6.648277030762984e-06,,
2025-10-22,,4.57911062105391e-06,,0.02950970840950807,,-1.106025353389365e-05,,
2025-10-23,,4.72205929072563e-06,,0.02923239382604758,,-1.747347199246481e-05,,
2025-10-24,,4.875115240861779e-06,,0.02904161574939887,,-2.268252143646047e-05,,
2025-10-25,,5.038278488041688e-06,,0.02893737411747376,,-2.687155774765415e-05,,
2025-10-26,6.998187018325552e-06,5.211549029423187e-06,,0.02891966893027226,-0.0002562112640589476,-3.004058119889426e-05,,
2025-10-27,2.897286776715191e-06,5.213468540728646e-06,0.02615662105381489,0.02901429714014133,2.602974927867763e-05,-2.866242339223391e-05,,
2025-10-28,2.47984803536383e-06,5.166819079545822e-06,0.02536521293222904,0.02899239330242077,-8.174632239388302e-05,-3.138905458399677e-05,,1892.82470703125
2025-10-29,5.085833890916547e-06,5.172381458192395e-06,,0.02892580063392719,2.285913615196478e-05,-3.114109043356924e-05,,
2025-10-30,5.166737537365407e-06,5.145986269698237e-06,0.02809298411011696,0.02881451901048422,-4.236363747622818e-05,-3.357947204373583e-05,,1892.82470703125
2025-10-31,,5.212928274052804e-06,0.02854568883776665,0.02882795426994562,-4.197225109692226e-07,-3.51319764007485e-05,,1892.82470703125
2025-11-01,-1.208293497256818e-06,5.319012304501787e-06,,0.0290311437100172,8.962918946053833e-05,-3.31340759894753e-05,,
2025-11-02,1.75193290488096e-05,5.971464840589154e-06,0.03335333243012428,0.02930123036106428,-3.641518560471013e-05,-3.024566172769027e-05,,1892.82470703125
2025-11-03,,6.464949132123366e-06,,0.02953716969738404,,-3.035590509720502e-05,,1892.82470703125
2025-11-04,,6.799465148787931e-06,,0.0297389617189765,,-3.346480609801954e-05,,
2025-11-05,,6.995474702383338e-06,,0.02990660642584165,,-3.957236473013381e-05,,
2025-11-06,,6.826680701503089e-06,,0.0300401038179795,,-3.930482170536228e-05,,
2025-11-07,5.356927431421354e-06,6.293083191621917e-06,,0.03013945389539003,-8.920364052755758e-05,-4.128515292241749e-05,,
2025-11-08,,6.616938641930877e-06,,0.0301805334786574,7.138225919334218e-05,-4.1288594450369e-05,,
2025-11-09,,6.809961793881787e-06,,0.03016334250569343,-0.0001817121665226296,-4.957604259535249e-05,,
2025-11-10,,6.872152660738115e-06,,0.03008788097649813,,-5.663848893107115e-05,,
2025-11-11,,6.803511246289417e-06,,0.02995414882898331,,-6.2475933336259e-05,,
2025-11-12,,6.604037544851357e-06,,0.02976214618732532,,-6.708837605344798e-05,,
2025-11-13,8.028890619016238e-08,6.273731551450131e-06,0.02645068056881428,0.02951187292734782,-5.300886550685391e-05,-7.047581696137209e-05,,
2025-11-14,,5.745641343679609e-06,0.02414821833372116,0.02920485672851404,7.692540384596214e-05,-6.805431881673485e-05,,1892.82470703125
2025-11-15,,5.306290980181908e-06,,0.02892510568102201,2.691621193662286e-05,-6.533304069857119e-05,,
2025-11-16,,4.955680492220912e-06,,0.02867261972278357,1.326822439295938e-05,-6.10999424310421e-05,,
2025-11-17,,4.693809845690566e-06,,0.02844739891588688,,-5.781901003748165e-05,,
2025-11-18,,4.520679059538679e-06,,0.02824944319824378,,-5.549024328672658e-05,,
2025-11-19,,4.436288114817444e-06,,0.02807875256985426,,-5.41136424137297e-05,,
2025-11-20,,4.440637030474666e-06,,0.02793532703071833,,-5.36892073692267e-05,,
